"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/14/2024 5 p.m. PDT",1204,1139,720,-484
SCL,"7/14/2024 6 p.m. PDT",1214,1167,911,-303
SCL,"7/14/2024 7 p.m. PDT",1221,1174,1012,-209
SCL,"7/14/2024 8 p.m. PDT",1197,1159,979,-218
SCL,"7/14/2024 9 p.m. PDT",1159,1131,869,-290
SCL,"7/14/2024 10 p.m. PDT",1158,1117,799,-359
SCL,"7/14/2024 11 p.m. PDT",1102,1067,584,-518
SCL,"7/15/2024 12 a.m. PDT",979,980,543,-436
SCL,"7/15/2024 1 a.m. PDT",930,907,150,-780
SCL,"7/15/2024 2 a.m. PDT",875,844,98,-777
SCL,"7/15/2024 3 a.m. PDT",838,813,94,-744
SCL,"7/15/2024 4 a.m. PDT",829,800,95,-734
SCL,"7/15/2024 5 a.m. PDT",827,807,131,-696
SCL,"7/15/2024 6 a.m. PDT",874,836,237,-637
SCL,"7/15/2024 7 a.m. PDT",924,901,563,-361
SCL,"7/15/2024 8 a.m. PDT",1013,973,570,-443
SCL,"7/15/2024 9 a.m. PDT",1039,1020,566,-473
SCL,"7/15/2024 10 a.m. PDT",1073,1046,569,-504
SCL,"7/15/2024 11 a.m. PDT",1077,1068,570,-507
SCL,"7/15/2024 12 p.m. PDT",1096,1084,569,-527
SCL,"7/15/2024 1 p.m. PDT",1106,1101,573,-533
SCL,"7/15/2024 2 p.m. PDT",1123,1117,586,-537
SCL,"7/15/2024 3 p.m. PDT",1102,1133,547,-555
SCL,"7/15/2024 4 p.m. PDT",1144,1147,727,-417
SCL,"7/15/2024 5 p.m. PDT",1206,1168,725,-481
SCL,"7/15/2024 6 p.m. PDT",1214,1178,882,-332
SCL,"7/15/2024 7 p.m. PDT",1221,1164,960,-261
SCL,"7/15/2024 8 p.m. PDT",1202,1131,922,-280
SCL,"7/15/2024 9 p.m. PDT",1172,1100,892,-280
SCL,"7/15/2024 10 p.m. PDT",1129,1083,707,-422
SCL,"7/15/2024 11 p.m. PDT",1078,1019,465,-613
SCL,"7/16/2024 12 a.m. PDT",984,938,410,-574
SCL,"7/16/2024 1 a.m. PDT",916,892,239,-677
SCL,"7/16/2024 2 a.m. PDT",863,829,243,-620
SCL,"7/16/2024 3 a.m. PDT",833,801,164,-669
SCL,"7/16/2024 4 a.m. PDT",816,789,140,-676
SCL,"7/16/2024 5 a.m. PDT",822,802,140,-682
SCL,"7/16/2024 6 a.m. PDT",820,842,135,-685
SCL,"7/16/2024 7 a.m. PDT",901,924,393,-508
SCL,"7/16/2024 8 a.m. PDT",996,1010,531,-465
SCL,"7/16/2024 9 a.m. PDT",1042,1058,576,-466
